case_id,partition,canonical_group,paper_title,year,direction,problem_class,category,formulation_type,application_field,runtime_quartile,size_quartile,task_median_runtime_seconds,large_median_runtime_seconds,avg_num_var,avg_num_int_var,avg_num_constr,source_link
bertsimas2024,test,bertsimas2024,A Stochastic Benders Decomposition Scheme for Large-Scale Stochastic Network Design,2024,min,Network Design & Flow,planning,Stochastic/Robust/DRO,Telecommunications & Networking,Q2,Q4,1775.3567528948188,3028.6974435467273,1170900.0,900.0,322501.0,https://pubsonline.informs.org/doi/10.1287/ijoc.2023.0074
bettinelli2017,train,bettinelli2017,A Branch-and-Bound Algorithm for the Knapsack Problem with Conflict Graph,2017,max,Packing / Cutting Stock,planning,BIP,Foundational / Theoretical,Q4,Q1,3608.485,3610.9,500.0,500.0,18436.0,https://pubsonline.informs.org/doi/10.1287/ijoc.2016.0742
bierwirth2017,train,bierwirth2017,Extended GRASP for the Job Shop Scheduling Problem with Total Weighted Tardiness Objective,2017,min,Scheduling (Machine / Crew / Workforce),operational,CP,Manufacturing & Production,Q3,Q2,3600.33,3600.35,4710.0,4350.0,9060.0,https://doi.org/10.1016/j.ejor.2017.03.030
bode2012,train,bode2012,Cut-First Branch-and-Price-Second for the Capacitated Arc-Routing Problem,2012,min,Vehicle Routing & TSP,operational,IP,Transportation & Logistics,Q1,Q1,2.025,1.86,350.0,350.0,112.0,https://doi.org/10.1287/opre.1120.1079
bodur2017,train,bodur2017,Strengthened Benders Cuts for Stochastic Integer Programs with Continuous Recourse,2017,min,Stochastic / Robust / Bilevel Optimization,strategic,Stochastic/Robust/DRO,Foundational / Theoretical,Q2,Q4,158.51,205.16,3750050.0,50.0,150001.0,https://doi.org/10.1287/ijoc.2016.0717
boland2019,test,boland2019,Bi-objective branch-and-cut algorithms based on LP relaxation and bound sets,2019,min,Facility Location,planning,MIP,Supply Chain & Inventory,Q3,Q2,3600.225,3600.23,7260.0,7260.0,7380.0,https://pubsonline.informs.org/doi/10.1287/ijoc.2018.0846
bollapragada2001,train,bollapragada2001,Optimal Design of Truss Structures by Logic-Based Branch and Cut,2001,min,Other (Structural Design),planning,MIP,Foundational / Theoretical,Q3,Q2,2077.3650000000002,3600.28,6840.0,2160.0,11004.0,https://doi.org/10.1287/opre.49.1.42.11196
borndorfer2007,train,borndorfer2007,A Column-Generation Approach to Line Planning in Public Transport,2007,min,Other (Line Planning),planning,IP,Public Transit & Mobility,Q4,Q3,3602.39,3602.66,166848.0,50569.0,61961.0,https://doi.org/10.1287/trsc.1060.0161
bragin2022,holdout,bragin2022,"Surrogate ""Level-Based"" Lagrangian Relaxation for mixed-integer linear programming",2022,min,Other (General MIP),planning,MIP,Foundational / Theoretical,Q1,Q2,1.615,1.81,128000.0,128000.0,1680.0,https://www.nature.com/articles/s41598-022-26264-1
brandao2016,train,brandao2016,Bin Packing and Related Problems: General Arc-flow Formulation with Graph Compression,2016,min,Packing / Cutting Stock,planning,IP,Foundational / Theoretical,Q1,Q2,116.09,161.55,82000.0,82000.0,7165.0,https://www.sciencedirect.com/science/article/abs/pii/S0305054815002762
bront2009,train,bront2009,A Column Generation Algorithm for Choice-Based Network Revenue Management,2009,max,Other (Revenue Management),strategic,IP,Retail & Revenue Management,Q2,Q1,144.31,147.8,1.0,0.0,13.0,https://doi.org/10.1287/opre.1080.0567
buchheim2018,test,buchheim2018,Quadratic Combinatorial Optimization Using Separable Underestimators,2018,min,Other (Quadratic Optimization),planning,QP/MIQP,Foundational / Theoretical,Q3,Q1,3266.705,3600.56,420.0,420.0,225.0,https://doi.org/10.1287/ijoc.2017.0789
byeon2022,train,byeon2022,Benders Subproblem Decomposition for Bilevel Problems with Convex Follower,2022,min,Stochastic / Robust / Bilevel Optimization,planning,Bilevel/Multi-level,Foundational / Theoretical,Q1,Q2,84.3218018533662,164.04107390902936,6828.0,774.0,10693.0,https://doi.org/10.1287/ijoc.2021.1128
caprara1999,test,caprara1999,Exact Solution of the Quadratic Knapsack Problem,1999,max,Other (Quadratic Knapsack),planning,QP/MIQP,Foundational / Theoretical,Q1,Q3,14.475000000000001,16.28,90000.0,90000.0,134851.0,https://pubsonline.informs.org/doi/10.1287/ijoc.11.2.125
carosi2019,train,carosi2019,A matheuristic for integrated timetabling and vehicle scheduling,2019,min,Vehicle Scheduling,strategic,MIP,Public Transit & Mobility,Q4,Q4,3604.955,3606.05,1042742.0,53088.0,19982.0,https://doi.org/10.1016/j.trb.2019.07.004
carvalho1999,train,carvalho1999,Exact solution of bin-packing problems using column generation and branch-and-bound,1999,min,Packing / Cutting Stock,planning,IP,Foundational / Theoretical,Q1,Q2,11.72,18.62,38404.0,38404.0,1232.0,https://link.springer.com/article/10.1023/A:1018952112615
carvalho2022,train,carvalho2022,Hybrid matheuristics to solve the integrated lot sizing and scheduling problem on parallel machines with sequence-dependent and non-triangular setup,2022,min,Lot Sizing / Inventory,strategic,MIP,Manufacturing & Production,Q3,Q2,3600.585,3600.6,30390.0,13290.0,23333.0,https://doi.org/10.1016/j.ejor.2021.03.050
castro2021,train,castro2021,A specialized interior-point algorithm for huge minimum convex cost flows in bipartite networks,2021,min,Other (Network Flow),strategic,NLP/MINLP,Foundational / Theoretical,Q2,Q4,1368.875,1538.78,100000000.0,0.0,500200.0,https://doi.org/10.1016/j.ejor.2020.10.027
chebil2015,train,chebil2015,A dynamic programming algorithm for the Knapsack Problem with Setup,2015,max,Packing / Cutting Stock,planning,IP,Foundational / Theoretical,Q1,Q2,2.38,2.59,10030.0,10030.0,10001.0,https://www.sciencedirect.com/science/article/abs/pii/S0305054815001215
chebil2019,test,chebil2019,An exact approach for the 0–1 Knapsack Problem with Setups,2017,max,Packing / Cutting Stock,planning,BIP,Foundational / Theoretical,Q1,Q3,98.4,179.24,50100.0,50100.0,50001.0,https://doi.org/10.1016/j.cor.2016.11.015
chen1999,train,chen1999,Solving Parallel Machine Scheduling Problems by Column Generation,1999,min,Other (Parallel Machine Scheduling),strategic,IP,Manufacturing & Production,Q3,Q3,1881.71,3601.87,101200.0,51600.0,149810.0,https://doi.org/10.1287/ijoc.11.1.78
cherkesly2015,train,cherkesly2015,Branch-Price-and-Cut Algorithms for the Pickup and Delivery Problem with Time Windows and Last-in-First-Out Loading,2015,min,Vehicle Routing & TSP,operational,MIP,Transportation & Logistics,Q2,Q4,240.447952024173,259.20907141733915,1048880.0,1029000.0,2415979.0,https://doi.org/10.1287/trsc.2014.0535
colombi2017,test,colombi2017,The directed profitable rural postman problem with incompatibility constraints,2017,max,Vehicle Routing & TSP,operational,MIP,Transportation & Logistics,Q3,Q2,3600.26,3600.27,8453.0,2635.0,8028.0,https://doi.org/10.1016/j.ejor.2017.02.002
contreras2011,train,contreras2011,Branch and Price for Large-Scale Capacitated Hub Location Problems with Single Assignment,2011,min,Facility Location,planning,MIP,Transportation & Logistics,Q2,Q4,526.995,580.75,2561600.0,1600.0,131241.0,https://doi.org/10.1287/ijoc.1100.0391
cordeau2006,train,cordeau2006,A Branch-and-Cut Algorithm for the Dial-a-Ride Problem,2006,min,Vehicle Routing & TSP,operational,MIP,Public Transit & Mobility,Q3,Q2,3278.59,3600.74,11456.0,11260.0,4349.0,https://doi.org/10.1287/opre.1060.0283
cordeau2014,holdout,cordeau2014,Analysis and Branch-and-Cut Algorithm for the Time-Dependent Travelling Salesman Problem,2014,min,Vehicle Routing & TSP,operational,MIP,Transportation & Logistics,Q4,Q1,3601.5895305564627,3601.6832738369703,41412.0,41412.0,408.0,https://doi.org/10.1287/trsc.1120.0449
cordeau2019,train,cordeau2019,Benders Decomposition for Very Large Scale Partial Set Covering and Maximal Covering Location Problems,2019,min,Facility Location,planning,MIP,Public Service & Government,Q2,Q3,248.25,268.04,100100.0,100.0,100001.0,https://www.sciencedirect.com/science/article/abs/pii/S0377221718310737
cote2018,train,cote2018,The Meet-in-the-Middle Principle for Cutting and Packing Problems,2018,min,Packing / Cutting Stock,planning,BIP,Foundational / Theoretical,Q1,Q3,13.209999999999999,24.68,67310.0,67310.0,21292.0,https://pubsonline.informs.org/doi/10.1287/ijoc.2018.0806
cote2019,train,cote2019,The Vehicle Routing Problem with Stochastic Two-Dimensional Items,2020,min,Vehicle Routing & TSP,operational,Stochastic/Robust/DRO,Transportation & Logistics,Q2,Q1,138.505,185.19,56.0,55.0,11.0,https://doi.org/10.1287/trsc.2019.0904
cunha2021,train,cunha2021,"Valid inequalities, preprocessing, and an effective heuristic for the uncapacitated three-level lot-sizing and replenishment problem with a distribution structure",2021,min,Lot Sizing / Inventory,planning,MIP,Supply Chain & Inventory,Q3,Q2,3600.425,3600.48,19890.0,6630.0,13260.0,https://www.sciencedirect.com/science/article/abs/pii/S0377221721002551
damcikurt2016,holdout,damcikurt2016,Strong Formulations for the Multistage Stochastic Self-Scheduling Unit Commitment,2016,max,Energy & Unit Commitment,operational,Stochastic/Robust/DRO,Energy & Power Systems,Q2,Q4,733.6503515769728,755.4486540015787,3145724.0,2097149.0,11534314.0,https://doi.org/10.1287/opre.2016.1520
dayarian2019,holdout,dayarian2019,A Branch-Price-and-Cut Algorithm for a Production-Routing Problem with Short-Life-Span Products,2019,min,Vehicle Routing & TSP,operational,MIP,Transportation & Logistics,Q3,Q2,3600.7938068709336,3600.793936959468,19310.0,16964.0,35831.0,https://doi.org/10.1287/trsc.2018.0854
degraeve2007,train,degraeve2007,A New Dantzig-Wolfe Reformulation and Branch-and-Price Algorithm for the Capacitated Lot Sizing Problem with Set Up Times,2007,min,Lot Sizing / Inventory,planning,MIP,Manufacturing & Production,Q1,Q1,41.405,76.42,1830.0,600.0,1220.0,https://pubsonline.informs.org/doi/10.1287/opre.1070.0404
delage2022,test,delage2022,Logic-Based Benders Decomposition for Integrated Process Configuration and Production Planning Problems,2022,min,Packing / Cutting Stock,strategic,CP,Manufacturing & Production,Q3,Q2,3600.33,3600.37,5910.0,2520.0,8400.0,https://doi.org/10.1287/ijoc.2021.1079
delorme2020,holdout,delorme2020,Enhanced Pseudo-polynomial Formulations for Bin Packing and Cutting Stock Problems,2019,min,Packing / Cutting Stock,planning,IP,Foundational / Theoretical,Q2,Q3,582.475,860.22,1641755.0,1641755.0,5467.0,https://pubsonline.informs.org/doi/abs/10.1287/ijoc.2018.0880
desaulniers2010,train,desaulniers2010,Branch-and-Price-and-Cut for the Split-Delivery Vehicle Routing Problem with Time Windows,2010,min,Vehicle Routing & TSP,operational,MIP,Transportation & Logistics,Q4,Q3,3606.18,3608.49,98817.0,92289.0,99008.0,https://doi.org/10.1287/opre.1090.0713
desaulniers2014,train,desaulniers2014,A Branch-Price-and-Cut Algorithm for the Inventory-Routing Problem,2014,min,Lot Sizing / Inventory,operational,MIP,Supply Chain & Inventory,Q3,Q2,3600.29,3600.3,15753.0,7800.0,8709.0,https://doi.org/10.1287/trsc.2015.0635
desaulniers2016,train,desaulniers2016,A Branch-Price-and-Cut Algorithm for the Inventory-Routing Problem,2016,min,Lot Sizing / Inventory,operational,MIP,Supply Chain & Inventory,Q3,Q3,3600.84,3600.87,33213.0,31725.0,32868.0,https://doi.org/10.1287/trsc.2015.0635
dienstknecht2024,train,dienstknecht2024,Sharing in construction projects: On determining optimal container assignments for the on-site accommodation of trades,2024,min,Other (Resource Assignment),strategic,MIP,Manufacturing & Production,Q1,Q2,3.09,3.65,14560.0,7378.0,23714.0,https://doi.org/10.1016/j.ejor.2023.11.045
earl2005,train,earl2005,Multi-vehicle Cooperative Control Using Mixed Integer Linear Programming,2005,min,Other (Cooperative Control),operational,MIP,Aerospace & Aviation,Q2,Q3,132.45999999999998,151.6,44170.0,41174.0,122024.0,https://arxiv.org/abs/cs/0501092
eiselt2009,holdout,eiselt2009,A conditional p-hub location problem with attraction functions,2009,max,Facility Location,planning,MIP,Aerospace & Aviation,Q4,Q4,3608.705,3608.74,195925.0,325.0,586201.0,https://doi.org/10.1016/j.cor.2008.11.014
elci2022,train,elci2022,Stochastic Planning and Scheduling with Logic-Based Benders Decomposition,2022,min,Scheduling (Machine / Crew / Workforce),strategic,Stochastic/Robust/DRO,Manufacturing & Production,Q3,Q4,1937.915,2000.18,1525989.0,1525864.0,1617160.0,https://doi.org/10.1287/ijoc.2022.1184
engineer2012,test,engineer2012,A Branch-Price-and-Cut Algorithm for Single-Product Maritime Inventory Routing,2012,min,Lot Sizing / Inventory,operational,MIP,Supply Chain & Inventory,Q2,Q2,357.55,1632.81,13456.0,6588.0,14305.0,https://doi.org/10.1287/opre.1110.0997
fischetti1997,test,fischetti1997,A Branch-and-Cut Algorithm for the Symmetric Generalized Traveling Salesman Problem,1997,min,Vehicle Routing & TSP,operational,IP,Transportation & Logistics,Q4,Q3,3602.6899999999996,3602.97,96814.0,96814.0,39516.0,https://doi.org/10.1287/opre.45.3.378
fischetti1998,train,fischetti1998,Solving the Orienteering Problem through Branch-and-Cut,1998,max,Vehicle Routing & TSP,operational,IP,Transportation & Logistics,Q1,Q4,84.82,125.23,125250.0,125250.0,249503.0,https://doi.org/10.1287/ijoc.10.2.133
fischetti2017,train,fischetti2017,Redesigning Benders Decomposition for Large-Scale Facility Location,2016,min,Facility Location,planning,MIP,Transportation & Logistics,Q3,Q4,2959.495,3600.78,933380.0,140.0,469953.0,https://pubsonline.informs.org/doi/10.1287/mnsc.2016.2461
fleszar2022b,train,fleszar2022b,A branch-and-bound algorithm for the quadratic multiple knapsack problem,2022,max,Packing / Cutting Stock,planning,QP/MIQP,Foundational / Theoretical,Q3,Q1,3600.245,3600.27,600.0,600.0,70.0,https://www.sciencedirect.com/science/article/abs/pii/S0377221721005336
forrest2006,train,forrest2006,A Column-Generation Approach to the Multiple Knapsack Problem with Color Constraints,2006,max,Other (Knapsack),strategic,IP,Manufacturing & Production,Q2,Q3,266.095,274.55,82355.0,82355.0,75237.0,https://doi.org/10.1287/ijoc.1040.0078
fragkos2016,holdout,fragkos2016,A Horizon Decomposition Approach for the Capacitated Lot-Sizing Problem with Setup Times,2016,min,Lot Sizing / Inventory,strategic,MIP,Manufacturing & Production,Q3,Q1,3600.395,3600.4,3010.0,1000.0,2110.0,https://doi.org/10.1287/ijoc.2016.0691
fragkos2021,train,fragkos2021,A General Model and Efficient Algorithms for Reliable Facility Location Problem under Uncertain Disruptions,2021,min,Facility Location,planning,Stochastic/Robust/DRO,Transportation & Logistics,Q3,Q1,3600.0,3600.0,10001.0,10000.0,0.0,https://doi.org/10.1287/ijoc.2021.1063
freeman2018,train,freeman2018,Attractive Orienteering Problem with Proximity and Timing Interactions,2018,max,Vehicle Routing & TSP,strategic,MIP,Sports & Entertainment,Q1,Q4,94.36500000000001,102.68,234930.0,1710.0,692599.0,https://doi.org/10.1016/j.ejor.2017.09.025
freling2003,train,freling2003,A Branch-and-Price Algorithm for the Multiperiod Single-Sourcing Problem,2003,min,Facility Location,strategic,MIP,Manufacturing & Production,Q1,Q1,77.82,117.59,1974.0,1890.0,219.0,https://doi.org/10.1287/opre.51.6.922.24914
frey2017,train,frey2017,Column Generation for Outbound Baggage Handling at Airports,2017,min,Other (Airport Scheduling),operational,MIP,Aerospace & Aviation,Q1,Q4,109.99499999999999,175.01,1205240.0,1156189.0,62996.0,https://doi.org/10.1287/trsc.2017.0739
furini2016,train,furini2016,Modeling Two-Dimensional Guillotine Cutting Problems via Integer Programming,2016,max,Packing / Cutting Stock,operational,MIP,Manufacturing & Production,Q4,Q4,3622.41,3622.53,3281559.0,3281559.0,37797.0,https://doi.org/10.1287/ijoc.2016.0710
furini2017,train,furini2017,An Improved DSATUR-Based Branch-and-Bound Algorithm for the Vertex Coloring Problem,2017,min,Graph Optimization,planning,BIP,Foundational / Theoretical,Q1,Q1,57.75,73.66,1029.0,1029.0,14465.0,https://onlinelibrary.wiley.com/doi/abs/10.1002/net.21716
furini2019,train,furini2019,A Branch and Bound Algorithm for the Maximum Clique Problem,1992,max,Graph Optimization,planning,BIP,Foundational / Theoretical,Q4,Q2,3603.06,3603.47,1000.0,1000.0,349500.0,https://doi.org/10.1016/0305-0548(92)90067-f
furini2021,train,furini2021,A branch-and-cut algorithm for the Edge Interdiction Clique Problem,2021,min,Graph Optimization,planning,BIP,Foundational / Theoretical,Q3,Q1,3600.175,3600.18,2543.0,2543.0,2.0,https://www.sciencedirect.com/science/article/abs/pii/S0377221721000606
gamache1999,train,gamache1999,A Column Generation Approach for Large-Scale Aircrew Rostering Problems,1999,min,Scheduling (Machine / Crew / Workforce),strategic,MIP,Aerospace & Aviation,Q1,Q1,88.47999999999999,105.24,228907.0,228875.0,82.0,https://doi.org/10.1287/opre.47.2.247
gangammanavar2020,test,gangammanavar2020,Stochastic Decomposition for Two-Stage Stochastic Linear Programs with Random Cost Coefficients,2020,min,Stochastic / Robust / Bilevel Optimization,planning,Stochastic/Robust/DRO,Foundational / Theoretical,Q1,Q4,114.94,118.24,3302127.0,0.0,76400.0,https://doi.org/10.1287/ijoc.2019.0929
garcia2011,train,garcia2011,Solving Large p-Median Problems with a Radius Formulation,2011,min,Facility Location,planning,MIP,Foundational / Theoretical,Q1,Q3,77.66,79.04,88397.0,300.0,88098.0,https://pubsonline.informs.org/doi/10.1287/ijoc.1100.0418
gruson2021,train,gruson2021,Benders decomposition for a stochastic three-level lot sizing and replenishment problem with a distribution structure,2021,min,Lot Sizing / Inventory,planning,Stochastic/Robust/DRO,Supply Chain & Inventory,Q2,Q4,545.955,803.57,4825320.0,1320.0,4824088.0,https://doi.org/10.1016/j.ejor.2020.09.019
gschwind2021,test,gschwind2021,A Branch-and-Price Framework for Decomposing Graphs into Relaxed Cliques,2021,min,Graph Optimization,operational,MIP,Foundational / Theoretical,Q4,Q1,3620.4587895465083,3622.7386569269,500.0,0.0,500.0,https://doi.org/10.1287/ijoc.2020.0984
gualandi2012,train,gualandi2012,Exact Solution of Graph Coloring Problems via Constraint Programming and Column Generation,2012,min,Graph Optimization,planning,CP,Foundational / Theoretical,Q3,Q3,1807.63,3604.67,10251.0,10251.0,634540.0,https://pubsonline.informs.org/doi/10.1287/ijoc.1100.0436
guo2021,train,guo2021,Logic-based Benders Decomposition and Binary Decision Diagram Based Approaches for Stochastic Distributed Operating Room Scheduling,2021,min,Scheduling (Machine / Crew / Workforce),operational,Stochastic/Robust/DRO,Healthcare,Q4,Q4,3607.78,3607.83,568286.0,568286.0,575895.0,https://pubsonline.informs.org/doi/10.1287/ijoc.2020.1036
hadjar2006,train,hadjar2006,A Branch-and-Cut Algorithm for the Multiple Depot Vehicle Scheduling Problem,2006,min,Vehicle Scheduling,operational,MIP,Public Transit & Mobility,Q2,Q3,148.6836614185013,186.43671914376318,780210.0,780210.0,4212.0,https://doi.org/10.1287/opre.1050.0240
hassannayebi2016,train,hassannayebi2016,Variable and adaptive neighbourhood search algorithms for rail rapid transit timetabling problem,2016,min,Vehicle Scheduling,strategic,MIP,Public Transit & Mobility,Q4,Q1,3600.94,3601.0,585.0,0.0,584.0,https://doi.org/10.1016/j.cor.2015.12.011
he2020,test,he2020,Branch-and-Cut-and-Price for the Vehicle Routing Problem with Time Windows and Convex Node Costs,2019,min,Vehicle Routing & TSP,operational,MIP,Transportation & Logistics,Q4,Q2,3613.735,3624.26,27962.0,27930.0,28949.0,https://pubsonline.informs.org/doi/10.1287/trsc.2019.0891
hewitt2024,train,hewitt2024,Production planning under demand and endogenous supply uncertainty,2025,max,Stochastic / Robust / Bilevel Optimization,strategic,Stochastic/Robust/DRO,Manufacturing & Production,Q4,Q4,3606.865,3608.19,307640.0,2590.0,551595.0,https://doi.org/10.1287/ijoc.2023.0067
hoffman1993,train,hoffman1993,Solving Airline Crew Scheduling Problems by Branch-and-Cut,1993,min,Scheduling (Machine / Crew / Workforce),strategic,MIP,Aerospace & Aviation,Q2,Q1,1806.7150000000001,3600.59,15000.0,15000.0,100.0,https://doi.org/10.1287/mnsc.39.6.657
hosseinian2020,holdout,hosseinian2020,A Lagrangian Bound on the Clique Number and an Exact Algorithm for the Maximum Edge Weight Clique Problem,2020,max,Graph Optimization,planning,MIP,Foundational / Theoretical,Q4,Q3,3601.3,3601.49,40300.0,40300.0,119700.0,https://pubsonline.informs.org/doi/10.1287/ijoc.2019.0898
huisman2005,train,huisman2005,Multiple-Depot Integrated Vehicle and Crew Scheduling,2005,min,Vehicle Scheduling,operational,MIP,Public Transit & Mobility,Q1,Q2,100.9,100.9,287214.0,287214.0,1512.0,https://doi.org/10.1287/trsc.1040.0104
ji2019,test,ji2019,Exact and heuristic methods for optimizing lock-quay system in inland waterway,2019,min,Other (Container Terminal),strategic,MIP,Transportation & Logistics,Q3,Q2,3600.815,3600.85,3738.0,2274.0,7261.0,https://doi.org/10.1016/j.ejor.2019.03.010
juvin2023,train,juvin2023,Logic-based Benders decomposition for the preemptive Flexible Job-Shop Scheduling Problem,2023,min,Scheduling (Machine / Crew / Workforce),operational,CP,Manufacturing & Production,Q1,Q3,66.05,68.35,39828.0,39827.0,111343.0,https://doi.org/10.1016/j.cor.2023.106156
kang2021,holdout,kang2021,An Exact Algorithm for Heterogeneous Drone-Truck Routing Problem,2021,min,Vehicle Routing & TSP,operational,MIP,Transportation & Logistics,Q3,Q2,3600.535,3600.71,7654.0,7551.0,2809.0,https://doi.org/10.1287/trsc.2021.1055
klose2005,test,klose2005,Lower Bounds for the Capacitated Facility Location Problem Based on Column Generation,2005,min,Facility Location,planning,MIP,Transportation & Logistics,Q3,Q4,2142.285,3614.82,1125750.0,750.0,1127251.0,https://doi.org/10.1287/mnsc.1050.0410
knueven2020,train,knueven2020,On Mixed Integer Programming Formulations for the Unit Commitment Problem,2020,min,Energy & Unit Commitment,operational,MIP,Energy & Power Systems,Q2,Q4,1079.485,1229.34,450144.0,129600.0,623040.0,https://doi.org/10.1287/ijoc.2019.0944
kobayashi2021,train,kobayashi2021,Bilevel Cutting-plane Algorithm for Solving Cardinality-constrained Mean-CVaR Portfolio Optimization Problems,2021,min,Portfolio Optimization,strategic,Bilevel/Multi-level,Finance & Investment,Q1,Q2,88.215,99.46,10452.0,225.0,10229.0,https://doi.org/10.1007/s10898-021-01048-5
kobeaga2024,train,kobeaga2024,A revisited branch-and-cut algorithm for large-scale orienteering problems,2024,max,Graph Optimization,operational,MIP,Foundational / Theoretical,Q4,Q3,3603.33,3603.45,45150.0,45150.0,90002.0,https://www.sciencedirect.com/science/article/pii/S0377221723005933
kowalczyk2018,train,kowalczyk2018,A Branch-and-Price Algorithm for Parallel Machine Scheduling Using ZDDs and Generic Branching,2018,min,Scheduling (Machine / Crew / Workforce),strategic,IP,Manufacturing & Production,Q1,Q1,7.935,8.79,284784.0,284784.0,31.0,https://doi.org/10.1287/ijoc.2018.0809
